,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16
56,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0
58,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0
59,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
60,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1
61,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1
62,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0
63,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1
64,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1
65,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1
66,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1
67,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
68,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1
69,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0
70,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
71,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1
72,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0
73,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
74,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
75,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
76,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
77,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0
78,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0
79,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1
80,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
81,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1
82,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
83,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0
84,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0
85,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1
86,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0
87,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1
88,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1
89,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
90,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
91,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1
92,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0
93,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1
94,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0
95,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0
96,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
97,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0
98,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0
99,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0
100,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1
101,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
102,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0
103,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1
104,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
105,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1
106,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1
107,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1
108,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
109,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1
110,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
111,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
112,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1
113,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
114,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
115,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1
116,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1
117,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0
118,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
119,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1
120,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1
121,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1
122,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1
123,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0
124,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
125,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1
126,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1
127,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1
128,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1
129,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0
130,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
131,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0
132,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1
133,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0
134,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1
135,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0
136,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0
137,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1
138,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1
139,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
140,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
141,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
142,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1
143,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
144,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
145,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1
146,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
147,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
148,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0
149,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
150,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1
151,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0
152,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
153,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1
154,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0
155,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
156,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1
157,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0
158,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1
159,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1
160,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0
161,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0
162,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1
163,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1
164,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0
165,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1
166,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0
167,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0
168,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0
169,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
170,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
171,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
172,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1
173,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1
174,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
175,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1
176,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
177,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
178,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0
179,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0
180,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1
181,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1
182,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
183,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0
184,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
185,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1
186,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1
187,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0
188,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
189,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0
190,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1
191,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1
192,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1
193,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1
194,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
195,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
196,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1
197,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1
198,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
199,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
200,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1
201,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1
202,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1
203,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1
204,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1
205,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0
206,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0
207,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0
208,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0
209,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0
210,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1
211,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1
212,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1
213,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1
214,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1
215,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
216,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0
217,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0
218,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1
219,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
220,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0
221,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1
222,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1
223,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1
224,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0
225,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
226,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
227,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
228,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0
229,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0
230,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
231,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1
232,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0
233,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0
234,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
235,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
236,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0
237,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1
238,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
239,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0
240,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
241,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1
242,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1
243,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
244,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0
245,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
246,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
247,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1
248,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
249,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1
250,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1
251,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0
252,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1
253,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1
254,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1
255,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
256,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0
257,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1
258,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1
259,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1
260,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0
261,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0
262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
263,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0
264,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0
265,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1
266,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
267,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0
268,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0
269,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
270,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0
271,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1
272,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0
273,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1
274,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0
275,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
276,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
277,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1
278,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1
279,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0
280,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0
281,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0
282,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1
283,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
284,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0
285,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0
286,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
287,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1
288,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1
289,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1
290,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0
291,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0
292,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0
293,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
294,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0
295,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
296,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0
297,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0
298,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1
299,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1
300,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1
301,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
302,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1
303,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
304,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1
305,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
306,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1
307,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1
308,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1
309,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1
310,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0
311,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
312,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1
313,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0
314,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1
315,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
316,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
317,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1
318,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1
319,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1
320,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1
321,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
322,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1
323,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1
324,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
325,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1
326,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1
327,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
328,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
329,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0
330,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0
331,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1
332,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1
333,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1
334,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1
335,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
336,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
337,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0
338,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1
339,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0
340,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
341,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1
342,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
343,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0
344,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1
345,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
346,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0
347,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0
348,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
349,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1
350,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1
351,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1
352,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0
353,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0
354,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1
355,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0
356,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1
357,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0
358,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
359,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1
360,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1
361,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
362,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
363,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1
364,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1
365,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1
366,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
367,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1
368,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
369,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0
370,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0
371,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
372,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1
373,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1
374,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1
375,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1
376,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0
377,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1
378,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
379,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0
380,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
381,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1
382,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1
383,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1
384,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1
385,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0
386,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0
387,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0
388,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1
389,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0
390,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1
391,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1
392,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
393,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1
394,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1
395,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0
396,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
397,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0
398,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1
399,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1
400,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1
401,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1
402,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0
403,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0
404,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1
405,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0
406,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1
407,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0
